범죄대분류,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,절도범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,풍속범죄,풍속범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
범죄중분류,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타강간강제추행등,방화,절도범죄,상해,폭행,체포감금,협박,약취유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
서울,35,68,118,1200,219,4358,35,217,37594,3353,26509,243,4162,72,1075,1056,10240,353,392,71,172,2033,25,52034,16368,791,4924,545,10374,2821,4260,50,32013,83,61,552,935,48367
부산,29,24,43,347,83,1064,14,89,13699,2478,8474,66,1402,17,572,503,3730,130,156,17,20,897,7,26847,4469,273,1602,384,3996,856,2581,243,12176,37,13,138,164,24440
대구,16,15,31,215,43,648,9,50,9792,1568,5629,41,933,7,277,189,2716,64,47,7,27,459,3,14836,2643,106,1125,138,1917,306,777,16,12610,19,6,128,207,8821
인천,14,38,30,340,61,1030,16,70,8895,1545,8040,100,1411,18,501,591,3089,95,78,21,29,581,0,16652,4175,184,1507,239,3025,1062,1048,87,11926,14,7,104,400,17865
광주,1,2,10,152,32,391,8,35,5204,641,3430,33,424,8,196,113,1457,31,64,11,10,319,1,8249,1666,112,577,102,1332,129,431,7,7827,9,4,104,109,5177
대전,6,11,17,200,34,500,2,40,6034,831,4166,31,595,2,211,232,1696,33,51,13,7,336,0,11734,1456,105,733,181,1226,101,303,23,6389,21,4,50,68,5758
울산,8,7,10,112,14,311,10,28,3283,683,2574,35,397,5,198,71,1079,18,19,7,1,206,0,5615,759,72,449,248,794,107,347,29,5754,1,4,50,64,4016
세종,2,3,2,26,6,73,1,8,1110,119,400,3,86,2,25,25,250,26,21,1,3,70,0,1528,248,13,120,13,169,29,60,7,1031,0,2,14,20,1009
경기 고양,6,8,4,63,13,241,4,19,2484,267,2414,18,450,10,119,68,860,5,24,2,11,182,2,5201,1737,63,465,36,956,119,240,46,3967,21,0,23,126,3852
경기 과천,0,0,0,2,0,10,0,0,212,22,95,0,16,0,3,1,37,23,21,2,0,17,1,260,81,12,16,12,43,3,16,0,386,0,0,14,4,277
경기 광명,2,2,4,17,3,76,2,2,932,117,788,5,123,1,44,42,336,4,2,1,2,35,0,1467,319,14,142,11,238,28,59,9,928,1,0,10,18,1218
경기 광주,0,3,1,18,2,81,0,5,978,130,1181,9,230,1,36,38,542,2,3,1,3,64,0,1911,349,25,122,19,344,34,120,42,2328,4,0,9,42,1453
경기 구리,1,1,1,15,1,38,0,3,478,54,426,2,60,2,21,5,183,4,6,1,1,36,0,749,268,13,98,4,143,27,53,7,1360,0,0,16,25,878
경기 군포,2,0,0,23,0,59,0,6,753,119,549,1,88,0,10,38,249,6,3,2,2,22,1,1207,200,9,120,12,382,14,50,0,785,1,1,11,18,751
